rank,system_rank,cns_name,component,n_objects,lhs,ra_2000,dec_2000,proper_motion_arcsec_yr,proper_motion_angle_deg,parallax_arcsec,parallax_error,spectral_type,V_mag,Mv_mag,mass_msun,notes,common_name,distance_ly
36,36,LHS 292,,1,292,10 48 12.6,-11 20 14,1.644,158.5,0.22030,0.00360,M6.5 V,15.73,17.45,0.08,,,14.80
37,37,GJ 1245,A,3,3494,19 53 54.2,+44 24 55,0.731,143.1,0.22020,0.00100,M5.5 VJ,13.46,15.18,0.11,,G 208-044 A,14.81
37,37,GJ 1245,C,,,19 53 54.2,+44 24 55,0.731,143.1,0.22020,0.00100,M V,16.75,18.47,0.07,orbit < 2",G 208-044 B,14.81
37,37,GJ 1245,B,,3495,19 53 55.2,+44 24 56,0.731,143.1,0.22020,0.00100,M6.0 V,14.01,15.72,0.10,separation 8",G 208-045,14.81
38,38,GJ 674,,1+1P,449,17 28 39.9,-46 53 43,1.050,146.9,0.22011,0.00139,M2.5 V,9.37,11.08,0.36,,,14.81
39,39,GJ 440,,1,43,11 45 42.9,-64 50 29,2.688,097.4,0.21612,0.00109,DQ6,11.50,13.17,0.50,*,WD 1142-645,15.09
40,40,GJ 876,A,1+4P,530,22 53 16.7,-14 15 49,1.174,125.1,0.21447,0.00057,M3.5 V,10.18,11.84,0.27,,Ross 780,15.20
41,41,GJ 1002,,1,2,00 06 43.8,-07 32 22,2.041,203.6,0.21300,0.00360,M5.0 V,13.77,15.41,0.11,,,15.31
42,42,LHS 288,,1,288,10 44 21.2,-61 12 36,1.643,347.7,0.20970,0.00265,M5.5 V,13.92,15.53,0.11,,,15.55
43,43,GJ 412,A,2,38,11 05 28.6,+43 31 36,4.511,282.1,0.20567,0.00093,M1.0 V,8.77,10.34,0.48,,,15.85
43,43,GJ 412,B,,39,11 05 30.4,+43 31 18,4.531,281.9,0.20567,0.00093,M5.5 V,14.44,16.01,0.10,separation 28",WX Ursae Majoris,15.85
44,44,GJ 380,,1,280,10 11 22.1,+49 27 15,1.452,249.7,0.20553,0.00049,K7.0 V,6.59,8.15,0.64,,,15.86
45,45,GJ 388,,1,5167,10 19 36.4,+19 52 10,0.506,264.0,0.20460,0.00280,M2.5 V,9.29,10.87,0.39,,,15.93
46,46,GJ 832,,1+1P,3685,21 33 34.0,-49 00 32,0.819,183.2,0.20203,0.00100,M1.5 V,8.66,10.19,0.50,,,16.14
47,47,LP 944-020,,1,,03 39 35.2,-35 25 41,0.439,047.6,0.20140,0.00421,M9.0 V,18.69,20.21,0.07,,,16.19
48,48,DEN 0255-4700,,1,,02 55 03.7,-47 00 52,1.149,119.5,0.20137,0.00389,L7.5 V,22.92,24.44,0.05,*,,16.19
49,49,GJ 166,A,3,23,04 15 16.3,-07 39 10,4.088,213.2,0.20065,0.00023,K0.5 V,4.43,5.94,0.89,,omicron 2 Eridani,16.25
49,49,GJ 166,B,,24,04 15 22.0,-07 39 35,4.073,212.4,0.20065,0.00023,DA4,9.52,11.03,0.50,separation 83",,16.25
49,49,GJ 166,C,,25,04 15 22.0,-07 39 35,4.073,212.4,0.20065,0.00023,M4.0 V,11.24,12.75,0.18,orbit 7",,16.25
50,50,GJ 873,,1,3853,22 46 49.7,+44 20 02,0.841,236.9,0.19821,0.00084,M3.5 V,10.22,11.71,0.28,,EV Lacertae,16.44
51,51,GJ 682,,1,451,17 37 03.7,-44 19 09,1.176,217.1,0.19809,0.00206,M4.0 V,10.95,12.43,0.20,,,16.45
52,52,GJ 702,A,2,458,18 05 27.3,+02 30 00,0.971,172.6,0.19596,0.00087,K0.0 V,4.21,5.67,0.92,,70 Ophiuchi A,16.63
52,52,GJ 702,B,,459,18 05 27.3,+02 30 00,0.971,172.6,0.19596,0.00087,K5 V,6.01,7.47,0.70,orbit 5",70 Ophiuchi B,16.63
53,53,GJ 768,,1,3490,19 50 47.0,+08 52 06,0.661,054.3,0.19540,0.00046,A7 IV-V,0.77,2.22,1.71,,Altair,16.68
